2538,1000100,397000,0924-00-02
1123,36656,666100,0924-00-00
1157,36936,399500,0924-00-00
5008,37428,686000,0924-00-01
1540,37736,739500,0924-00-00
3282,38718,968800,0924-00-01
2572,59056,187500,0924-00-01
1172,73181,15000,0924-00-00
1525,93745,366000,0924-00-00
1908,129508,652800,0924-00-00
1705,137022,745000,0924-00-00
1970,137293,918000,0924-00-00
1218,147487,79000,0924-00-00
1900,147594,310000,0924-00-01
1439,152266,401900,0924-00-00
890,97542,470500,0924-00-00
1977,37499,402200,0924-00-00
1123,95018,195500,0924-00-00
918,97910,822000,0924-00-00
1804,107041,618000,0924-00-00
1750,152045,300000,0924-00-00
3780,200204,570000,0924-00-03
1948,29301,283000,0924-00-00
6174,29440,98000,0924-00-01
2035,37690,606000,0924-00-00
2188,38903,491200,0924-00-01
588,52823,300400,0924-00-00
1169,59465,682000,0924-00-00
2357,59668,26600,0924-00-02
1663,73081,85600,0924-00-00
2470,73275,219800,0924-00-01
2390,73654,329200,0924-00-01
1717,74280,718950,0924-00-00
1888,74421,30400,0924-00-01
2340,74554,744000,0924-00-01
1360,74592,981000,0924-00-00
1803,74796,383000,0924-00-01
1472,74978,921000,0924-00-00
1413,74996,180400,0924-00-01
2232,93948,249400,0924-00-00
2667,94532,149000,0924-00-00
3240,97061,320000,0924-00-01
1465,97164,56000,0924-00-01
1479,97294,884200,0924-00-00
972,97332,461600,0924-00-00
4113,97412,557000,0924-00-02
950,97476,500000,0924-00-00
2289,97548,606500,0924-00-01
1446,97687,67000,0924-00-01
1299,97962,209250,0924-00-01
764,103202,426300,0924-00-00
764,105877,65000,0924-00-00
1570,106948,812000,0924-00-00
2524,112431,322000,0924-00-01
2066,129430,741400,0924-00-00
1359,129438,447200,0924-00-00
1055,129685,334200,0924-00-00
